EXTRACTOR|MEASURE|MODEL|FILTER|ROC_AUC|AUC_PR|Max. f1
EfficientNetB0|per patch|SpatialBin/SVG/0.20|None|0.66596601|0.11299871|0.27527613
EfficientNetB0|per patch|SpatialBin/SVG/simple_0.50|None|0.70364329|0.13515349|0.29105691
EfficientNetB0|per patch|SVG|None|0.66187937|0.11215289|0.27357689
EfficientNetB0|per patch|SpatialBin/SVG/0.50|None|0.66584282|0.11299436|0.27551020
EfficientNetB0|per patch|SpatialBin/SVG/simple_0.20|None|0.69931229|0.13475733|0.29225908
EfficientNetB0|per patch|BalancedDistributionSVG/500/40/0.30|None|0.69369169|0.11985114|0.27950311
EfficientNetB0|per patch|SpatialBin/SVG/0.20|(1, 1, 1)|0.71872275|0.13728940|0.27794872
EfficientNetB0|per patch|SpatialBin/SVG/simple_0.50|(1, 1, 1)|0.73684724|0.16775549|0.28629032
EfficientNetB0|per patch|SVG|(1, 1, 1)|0.71433430|0.13737867|0.27628238
EfficientNetB0|per patch|SpatialBin/SVG/0.50|(1, 1, 1)|0.71872436|0.13734116|0.27809133
EfficientNetB0|per patch|SpatialBin/SVG/simple_0.20|(1, 1, 1)|0.73918808|0.15311765|0.29009193
EfficientNetB0|per patch|BalancedDistributionSVG/500/40/0.30|(1, 1, 1)|0.74586141|0.14127968|0.28070175
EfficientNetB0|per patch|SpatialBin/SVG/0.20|(2, 2, 2)|0.71974896|0.14223547|0.26282051
EfficientNetB0|per patch|SpatialBin/SVG/simple_0.50|(2, 2, 2)|0.74303183|0.19458616|0.30751708
EfficientNetB0|per patch|SVG|(2, 2, 2)|0.71351724|0.14217881|0.26300851
EfficientNetB0|per patch|SpatialBin/SVG/0.50|(2, 2, 2)|0.71980252|0.14228762|0.26270023
EfficientNetB0|per patch|SpatialBin/SVG/simple_0.20|(2, 2, 2)|0.74178066|0.15228423|0.29865772
EfficientNetB0|per patch|BalancedDistributionSVG/500/40/0.30|(2, 2, 2)|0.73033352|0.14179640|0.26472019
EfficientNetB0|per patch|SpatialBin/SVG/0.20|(0, 1, 1)|0.67313986|0.12309312|0.29635258
EfficientNetB0|per patch|SpatialBin/SVG/simple_0.50|(0, 1, 1)|0.71190481|0.15139391|0.31123517
EfficientNetB0|per patch|SVG|(0, 1, 1)|0.66567116|0.12138199|0.29460896
EfficientNetB0|per patch|SpatialBin/SVG/0.50|(0, 1, 1)|0.67289321|0.12305456|0.29635258
EfficientNetB0|per patch|SpatialBin/SVG/simple_0.20|(0, 1, 1)|0.71813386|0.14454098|0.32104121
EfficientNetB0|per patch|BalancedDistributionSVG/500/40/0.30|(0, 1, 1)|0.70208777|0.12726505|0.30339321
EfficientNetB0|per patch|SpatialBin/SVG/0.20|(0, 2, 2)|0.69565574|0.12666598|0.31206657
EfficientNetB0|per patch|SpatialBin/SVG/simple_0.50|(0, 2, 2)|0.73699908|0.16831351|0.32595870
EfficientNetB0|per patch|SVG|(0, 2, 2)|0.68518419|0.12336757|0.31105048
EfficientNetB0|per patch|SpatialBin/SVG/0.50|(0, 2, 2)|0.69523154|0.12661720|0.31163435
EfficientNetB0|per patch|SpatialBin/SVG/simple_0.20|(0, 2, 2)|0.74589703|0.15239677|0.34113208
EfficientNetB0|per patch|BalancedDistributionSVG/500/40/0.30|(0, 2, 2)|0.71645207|0.12610942|0.30950729
EfficientNetB0|per patch|SpatialBin/SVG/0.20|(1, 0, 0)|0.71881354|0.13230619|0.25560267
EfficientNetB0|per patch|SpatialBin/SVG/simple_0.50|(1, 0, 0)|0.74043282|0.15158099|0.27781048
EfficientNetB0|per patch|SVG|(1, 0, 0)|0.71611598|0.13218700|0.25469982
EfficientNetB0|per patch|SpatialBin/SVG/0.50|(1, 0, 0)|0.71882318|0.13235068|0.25560267
EfficientNetB0|per patch|SpatialBin/SVG/simple_0.20|(1, 0, 0)|0.73320354|0.14923538|0.27532777
EfficientNetB0|per patch|BalancedDistributionSVG/500/40/0.30|(1, 0, 0)|0.74513219|0.13837636|0.26984951
EfficientNetB0|per patch|SpatialBin/SVG/0.20|(2, 0, 0)|0.71793756|0.13712704|0.22969188
EfficientNetB0|per patch|SpatialBin/SVG/simple_0.50|(2, 0, 0)|0.74194027|0.16086476|0.25950783
EfficientNetB0|per patch|SVG|(2, 0, 0)|0.71578417|0.13650915|0.22986037
EfficientNetB0|per patch|SpatialBin/SVG/0.50|(2, 0, 0)|0.71797532|0.13719189|0.22969188
EfficientNetB0|per patch|SpatialBin/SVG/simple_0.20|(2, 0, 0)|0.73212752|0.15470591|0.25983667
EfficientNetB0|per patch|BalancedDistributionSVG/500/40/0.30|(2, 0, 0)|0.74268743|0.14232119|0.23568702
EfficientNetB0|per frame (max)|SpatialBin/SVG/0.20|None|0.54485905|0.56104557|0.61940299
EfficientNetB0|per frame (max)|SpatialBin/SVG/simple_0.50|None|0.54099895|0.52172116|0.61710037
EfficientNetB0|per frame (max)|SVG|None|0.52017780|0.54017590|0.61940299
EfficientNetB0|per frame (max)|SpatialBin/SVG/0.50|None|0.54497602|0.56071725|0.61940299
